ISBN;Title;Authors;Publisher;Edition;Location;Genre;Price;MaxLoanDays;MediaType;CreatedBy
0544049780;Life of Pi;Yann Martel;Ediciones Destino;114;Shelf-18;Teenage boys;32.60;14;DVD;import
9780199229680;Faust;Johann Wolfgang von Goethe;Hamilton, Adams;633;Shelf-37;Good and evil;19.90;14;Magazin;import
9789802720255;Picasso;Pablo Picasso|Jean-Louis Andral|Pierre Daix;Hachette;240;Shelf-28;20th century;30.77;14;E-Book;import
9798759402466;The Story of the Amulet;Edith Nesbit;Dell;578;Shelf-32;Roman pour la jeunesse;33.76;14;Book;import
1475352069;To the Lighthouse;Virginia Woolf;Longman;521;Shelf-11;Fiction;13.95;14;E-Book;import
9780006510345;Angela's Ashes;Frank McCourt;Adelphi;101;Shelf-24;Irish Americans;17.48;14;E-Book;import
9780545425117;The Hunger Games;Suzanne Collins;carlo moscatiello ;133;Shelf-25;severe poverty;15.88;14;E-Book;import
6071104823;Twilight;Stephenie Meyer;Samā lil-Nashr;119;Shelf-17;series:Luz_e_Escuridão;20.95;14;DVD;import
9781101911617;The Curious Incident of the Dog in the Night-Time;Mark Haddon;Psychogios;103;Shelf-14;England, fiction;38.93;14;Book;import
0671543113;Οἰδίπους Τύραννος (Oidípous Týrannos);Sophocles;Longman;188;Shelf-33;fate;35.85;14;E-Book;import
9783829050371;Life on the Mississippi;Mark Twain;Editorial Almadía;157;Shelf-38;American Authors;43.94;14;E-Book;import
9783829050371;Life on the Mississippi;Mark Twain;Editorial Almadía;157;Shelf-26;American Authors;31.41;14;Magazin;import
9783829050371;Life on the Mississippi;Mark Twain;Editorial Almadía;157;Shelf-17;American Authors;11.70;14;E-Book;import
1435362357;Hans Andersen's Fairy Tales;Hans Christian Andersen;Published by James Miller, (successor to C. S. Francis & Co.,) 522 Broadway;298;Shelf-30;Miniature books;23.86;14;E-Book;import
0788739581;The Two Towers;J.R.R. Tolkien;Brand: Demco Media;278;Shelf-0;Ents;32.81;14;E-Book;import
0788739581;The Two Towers;J.R.R. Tolkien;Brand: Demco Media;278;Shelf-30;Ents;41.29;14;Magazin;import
0788739581;The Two Towers;J.R.R. Tolkien;Brand: Demco Media;278;Shelf-17;Ents;22.89;14;Book;import
9781494395933;कामसूत्र;Vatsyāyana;Kṛ̥ṣṇadāsa Akādamī;381;Shelf-33;Sex customs;30.94;14;Magazin;import
9780320094200;Harry Potter and the Philosopher's Stone;J.K. Rowling;Bloomsbury Publishing (IN);357;Shelf-12;series:Harry_Potter;44.20;14;Book;import
1710725737;Memórias póstumas de Brás Cubas;Machado de Assis;Ediouro;147;Shelf-39;Romance brasileiro;34.09;14;E-Book;import
0571067794;Kinder- und Hausmärchen;Gebrüder Grimm [Brothers Grimm];Manesse Verlag;207;Shelf-39;Fairy tales;28.45;14;Book;import
9781847026286;Записки изъ подполья;Фёдор Михайлович Достоевский;HESPERUS PRESS;131;Shelf-25;Fiction;27.81;14;DVD;import
9781847026286;Записки изъ подполья;Фёдор Михайлович Достоевский;HESPERUS PRESS;131;Shelf-14;Fiction;43.68;14;E-Book;import
1717031595;My Ántonia;Willa Cather;Little, Brown Book Group Limited;832;Shelf-14;Literature;35.59;14;Magazin;import
1717031595;My Ántonia;Willa Cather;Little, Brown Book Group Limited;832;Shelf-24;Literature;30.83;14;Magazin;import
9780062470720;Little House in the Big Woods;Laura Ingalls Wilder;Guo yü ri bao chu ban bu;120;Shelf-8;Juvenile fiction;17.65;14;DVD;import
9780062470720;Little House in the Big Woods;Laura Ingalls Wilder;Guo yü ri bao chu ban bu;120;Shelf-39;Juvenile fiction;32.25;14;DVD;import
9798539627744;Jude the Obscure;Thomas Hardy;Clipper Large Print;425;Shelf-40;Social life and customs;27.19;14;Magazin;import
9781591090779;Heart of Darkness;Joseph Conrad;Longman;552;Shelf-19;Fiction;31.26;14;Magazin;import
9781974272891;The Time Machine;H. G. Wells;Художественная литература;1154;Shelf-27;Self-experimentation in medicine in fiction;21.40;14;Book;import
0358354749;The Giver;Lois Lowry;Houghton mifflin;106;Shelf-17;Social control;38.80;14;E-Book;import
0358354749;The Giver;Lois Lowry;Houghton mifflin;106;Shelf-32;Social control;38.19;14;Magazin;import
9994714090;Elephants Can Remember;Agatha Christie;Dell;110;Shelf-1;Fiction;16.21;14;Magazin;import
9994714090;Elephants Can Remember;Agatha Christie;Dell;110;Shelf-12;Fiction;34.98;14;Book;import
9780670826384;The Grapes of Wrath;John Steinbeck;Zhi wen chu ban she;321;Shelf-6;Labor camps;27.49;14;DVD;import
9780670826384;The Grapes of Wrath;John Steinbeck;Zhi wen chu ban she;321;Shelf-35;Labor camps;24.37;14;Magazin;import
9780670826384;The Grapes of Wrath;John Steinbeck;Zhi wen chu ban she;321;Shelf-1;Labor camps;24.84;14;Magazin;import
0060857609;Poirot investigates;Agatha Christie;West Margin Press;216;Shelf-30;Hercule Poirot (Fictitious character);37.31;14;Magazin;import
9682100410;The Invisible Man;H. G. Wells;El Ateneo;563;Shelf-28;Ciencia-ficción;39.46;14;Book;import
978-3-498-01238-0;The Twits;Roald Dahl;quentin blake;101;Shelf-7;humorous stories;19.44;14;DVD;import
1700684426;The Devil's Dictionary;Ambrose Bierce;Advanced Marketing;312;Shelf-18;Humor;33.29;14;DVD;import
8420436550;The Witches;Roald Dahl;Zhi wen chu ban she;107;Shelf-17;Fiction;18.86;14;Book;import
9780883013045;Hiroshima;John Hersey;Books on Tape, Inc.;104;Shelf-3;Kernwapens;13.54;14;Book;import
9780883013045;Hiroshima;John Hersey;Books on Tape, Inc.;104;Shelf-11;Kernwapens;42.73;14;E-Book;import
9780748120789;2001;Arthur C. Clarke;Brilliance Audio on MP3-CD;116;Shelf-18;Human-computer interaction;44.10;14;DVD;import
9780450053047;'Salem’s Lot;Stephen King;ISIS Large Print;105;Shelf-10;Catholic Church;17.53;14;DVD;import
0342241559;Winter's Tale;William Shakespeare;Mercure De France;362;Shelf-36;Drama;12.53;14;Book;import
1451682905;For Whom the Bell Tolls;Ernest Hemingway;Scribner Library;168;Shelf-34;Spain in fiction;32.26;14;Book;import
1888009020;La Poetica;Aristotle;D. A. Talboys;498;Shelf-9;Metaphysics;11.33;14;E-Book;import
9780816145867;One, Two, Buckle My Shoe;Agatha Christie;Le Livre de poche;104;Shelf-19;Fiction;25.13;14;Book;import
9780192833921;Отцы и дети;Ivan Sergeevich Turgenev;Aufbau Tb;208;Shelf-3;Fiction;30.18;14;Magazin;import
0330245651;The Red Pony;John Steinbeck;Corgi;108;Shelf-26;Horses;11.96;14;E-Book;import
0330245651;The Red Pony;John Steinbeck;Corgi;108;Shelf-10;Horses;38.87;14;Book;import
9781720802938;An American Tragedy;Theodore Dreiser;West Margin Press;176;Shelf-37;Classic Literature;34.58;14;Magazin;import
1976572924;Persuasion;Jane Austen;Austral;1235;Shelf-25;Fiction, Romance, Historical, Regency;35.65;14;E-Book;import
1454953055;Orlando;Virginia Woolf;MiraVista Press;452;Shelf-21;Nobility in fiction;40.41;14;DVD;import
9781727821789;A Doll's House;Henrik Ibsen;West Margin Press;255;Shelf-7;Drama;24.54;14;E-Book;import
9781727821789;A Doll's House;Henrik Ibsen;West Margin Press;255;Shelf-31;Drama;15.72;14;Book;import
9781727821789;A Doll's House;Henrik Ibsen;West Margin Press;255;Shelf-10;Drama;11.93;14;DVD;import
1647986893;La conquête du pain;Peter Kropotkin;Black Cat Press;106;Shelf-35;History;37.57;14;DVD;import
1854593331;Poetics;Aristotle|Leon Golden|O. B. Hardison;Peripatetic Pr;251;Shelf-35;Early works to 1800;12.78;14;Magazin;import
9789571341644;The Da Vinci Code;Dan Brown;DC Books;197;Shelf-22;Suspense & Thriller;23.70;14;DVD;import
9789571341644;The Da Vinci Code;Dan Brown;DC Books;197;Shelf-0;Suspense & Thriller;23.84;14;Book;import
9781509831975;Goodnight Moon;Margaret Wise Brown;L'Ecole des loisirs;143;Shelf-22;Children's fiction;18.64;14;DVD;import
9781509831975;Goodnight Moon;Margaret Wise Brown;L'Ecole des loisirs;143;Shelf-15;Children's fiction;27.91;14;Magazin;import
0553150987;Charlie and the Great Glass Elevator;Roald Dahl;quentin blake;108;Shelf-32;Charlie Bucket (Fictitious character);26.73;14;E-Book;import
0553150987;Charlie and the Great Glass Elevator;Roald Dahl;quentin blake;108;Shelf-24;Charlie Bucket (Fictitious character);19.39;14;E-Book;import
1950435598;Little men;Louisa May Alcott;West Margin Press;517;Shelf-7;Louisa May Alcott;11.30;14;DVD;import
1950435598;Little men;Louisa May Alcott;West Margin Press;517;Shelf-5;Louisa May Alcott;32.97;14;E-Book;import
1950435598;Little men;Louisa May Alcott;West Margin Press;517;Shelf-8;Louisa May Alcott;17.22;14;Book;import
9781717061256;Anne of Windy Poplars;Lucy Maud Montgomery;McClelland and Stewart;310;Shelf-34;Juvenile fiction;33.85;14;DVD;import
9780020444305;Prince Caspian;C.S. Lewis;Cwasg Efengylaidd Cymru;146;Shelf-40;Fantasy;38.93;14;DVD;import
1698085850;La père Goriot;Honoré de Balzac;Larousse;439;Shelf-14;Fiction;35.38;14;Magazin;import
0375758003;Lady Chatterley's Lover;D. H. Lawrence;Austral;514;Shelf-22;Sexual behavior;17.40;14;DVD;import
9780241951453;Breakfast at Tiffany's;Truman Capote;Sphere;113;Shelf-29;American Short stories;27.83;14;Magazin;import
1520905815;Lady Susan;Jane Austen;West Margin Press;600;Shelf-19;Fiction;21.68;14;Magazin;import
1520905815;Lady Susan;Jane Austen;West Margin Press;600;Shelf-23;Fiction;44.13;14;DVD;import
1520905815;Lady Susan;Jane Austen;West Margin Press;600;Shelf-8;Fiction;27.31;14;Magazin;import
9501113620;Romeo and Juliet;William Shakespeare;Austral;975;Shelf-14;Classical Literature;22.20;14;Magazin;import
9780393239195;A Clockwork Orange;Anthony Burgess;Caedmon Audio Cassette;132;Shelf-28;bible;32.48;14;E-Book;import
9780393239195;A Clockwork Orange;Anthony Burgess;Caedmon Audio Cassette;132;Shelf-14;bible;14.40;14;Book;import
9780393239195;A Clockwork Orange;Anthony Burgess;Caedmon Audio Cassette;132;Shelf-12;bible;42.11;14;E-Book;import
0140439218;Die protestantische Ethik und der Geist des Kapitalismus;Max Weber|Gilbert Geis|Sebastian Guzman|James Hill|Joaquín Abellán García|Đặng Thị Nguyệt Ánh|Le Minh Ton|Tôn Lê Minh|Talcott Parsons|Benito Romero|Suzanne Barbeau|Jacques Chavy|Piero Burresi|Isabelle Kalinowski|Luis Legaz Lacambra;Unwin;137;Shelf-21;Capitalism;30.34;14;DVD;import
1082561630;Anne of Avonlea;Lucy Maud Montgomery;MiraVista Press;813;Shelf-38;Fiction;43.97;14;DVD;import
9798673493557;Twelve years a slave;Solomon Northup;Amazonclassics;1029;Shelf-7;Slavery;38.23;14;Book;import
9780425205952;Cards on the Table;Agatha Christie;Collins Crime Club;106;Shelf-39;Fiction;26.12;14;Book;import
9798487772329;Through the Looking-Glass;Lewis Carroll|Lewis Carroll|Lewis Lewis Carroll;Austral;1378;Shelf-30;Fantasy;12.51;14;DVD;import
9798487772329;Through the Looking-Glass;Lewis Carroll|Lewis Carroll|Lewis Lewis Carroll;Austral;1378;Shelf-30;Fantasy;23.07;14;DVD;import
3942788004;Sonnenfinsternis;Arthur Koestler;Time, Inc;119;Shelf-14;Fiction;27.42;14;DVD;import
3942788004;Sonnenfinsternis;Arthur Koestler;Time, Inc;119;Shelf-38;Fiction;20.16;14;E-Book;import
9798740877044;The Phoenix and the Carpet;Edith Nesbit;Puffin;438;Shelf-29;English Fantasy fiction;23.95;14;Book;import
0434413011;To Kill a Mockingbird;Harper Lee;Everbind Books;212;Shelf-35;fiction;20.18;14;DVD;import
9780670001965;Also sprach Zarathustra;Friedrich Nietzsche;Henry;550;Shelf-27;Classic Literature;21.87;14;Magazin;import
9780670001965;Also sprach Zarathustra;Friedrich Nietzsche;Henry;550;Shelf-28;Classic Literature;19.94;14;Magazin;import
9780670001965;Also sprach Zarathustra;Friedrich Nietzsche;Henry;550;Shelf-5;Classic Literature;20.78;14;Book;import
9781090530134;The King in Yellow;Robert W. Chambers;F. Tennyson Neely;430;Shelf-20;Fiction;33.46;14;DVD;import
9781090530134;The King in Yellow;Robert W. Chambers;F. Tennyson Neely;430;Shelf-27;Fiction;33.53;14;Magazin;import
0671754475;After the Funeral;Agatha Christie;Tandem Library;114;Shelf-33;Fiction;28.99;14;E-Book;import
0671754475;After the Funeral;Agatha Christie;Tandem Library;114;Shelf-2;Fiction;40.89;14;Magazin;import
7532740099;The Old Man and the Sea;Ernest Hemingway;Planeta Mexicana;223;Shelf-2;American Sea stories;31.89;14;Book;import
0451530993;Hard Times;Charles Dickens;West Margin Press;1028;Shelf-10;Fiction;25.59;14;Magazin;import
0451530993;Hard Times;Charles Dickens;West Margin Press;1028;Shelf-13;Fiction;23.85;14;E-Book;import
9781519063595;Leaves of Grass;Walt Whitman;World Pub. Co.;755;Shelf-29;Manuscripts;42.91;14;E-Book;import
9780344164521;King Henry V;William Shakespeare;Irvington Publishers;631;Shelf-13;Drama;13.11;14;E-Book;import
9780752903866;The Valley of Fear;Arthur Conan Doyle;BBC Radio;758;Shelf-23;English Detective and mystery stories;32.82;14;Magazin;import
9798490377641;Shirley;Charlotte Brontë;AST;536;Shelf-22;England, fiction;34.71;14;Magazin;import
9798490377641;Shirley;Charlotte Brontë;AST;536;Shelf-20;England, fiction;28.89;14;DVD;import
9798490377641;Shirley;Charlotte Brontë;AST;536;Shelf-5;England, fiction;24.00;14;E-Book;import
9781631060700;Emma;Jane Austen;William A. Thomas Braille Bookstore;2261;Shelf-23;Social life and customs;26.06;14;DVD;import
0333585186;Gone With the Wind;Margaret Mitchell;Classen;244;Shelf-13;survival;39.05;14;E-Book;import
9781412171885;Uncle Tom's Cabin;Harriet Beecher Stowe;W. Fischer-Verlag;683;Shelf-25;Master and servant;34.97;14;DVD;import
9781412171885;Uncle Tom's Cabin;Harriet Beecher Stowe;W. Fischer-Verlag;683;Shelf-15;Master and servant;22.69;14;E-Book;import
0241630770;La Chute;Albert Camus;Can Yayinlari Ltd.;145;Shelf-31;Conscience;24.25;14;DVD;import
9781420925890;Essays;Francis Bacon;Wazīra Hinda Paraisa;188;Shelf-35;Aphorisms and apothegms;20.90;14;DVD;import
9781420925890;Essays;Francis Bacon;Wazīra Hinda Paraisa;188;Shelf-39;Aphorisms and apothegms;21.02;14;Magazin;import
1772751022;Adventures of Huckleberry Finn;Mark Twain;Picadilly Books;2552;Shelf-19;adventure and adventurers;31.00;14;DVD;import
1676456066;The Hound of the Baskervilles;Arthur Conan Doyle;Librio;1308;Shelf-6;crime novel;17.85;14;E-Book;import
